Country,Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
Angola,2000,3.055,3.422958873443668,5.606332175168051,4.772741829002517,6.291,2.495520375987708,7.088441130364001
Angola,2001,4.206,3.422958873443668,5.034260670726205,4.607377747530092,-11.00968,3.093669076519049,6.5953599544621575
Angola,2002,13.666,3.422958873443668,4.699507165113494,4.176032070315643,-0.867,3.773455103236526,6.053665931565744
Angola,2003,3.49,3.441283105201441,4.59732952820893,3.927108642846187,-3.537,4.31222496521587,6.452025866438596
Angola,2004,11.42,3.4397768636296306,3.796050829175725,3.7287489951943855,2.523,4.42534186848834,7.2293752771795665
Angola,2005,14.03384,3.307655637253791,3.1764275086033615,3.3973901433192015,12.411,4.4677356622384234,8.069854301271986
Angola,2006,11.84,3.2188663839091802,2.6606091265020737,2.845069647327946,17.327879999999993,4.386616983577508,9.005631555886897
Angola,2007,13.0,3.2697590351827706,2.583922077885986,2.934069613161884,14.487,4.339981793171552,9.323360506212156
Angola,2008,10.79,3.477787983823868,2.6000937262635624,3.336552188168624,7.282,4.317932736898914,9.790831286684089
Angola,2009,2.0,3.7165554895256245,2.689275045775876,3.8804910578149836,-9.267,4.373593256832152,9.490880385446614
Angola,2010,5.29,3.337831506040336,2.739548868161581,3.4841282223537973,7.856,4.52076327269654,9.866228706761623
Angola,2011,3.59,3.2754829756794916,2.6730445919033947,3.270253115727949,10.422,4.542600392300913,10.190418977346045
Angola,2012,8.5,3.2829392331575353,2.423474410269499,3.169895642646482,9.649,4.558790645852169,10.334679256035372
Angola,2013,4.88,3.262969262378712,2.2805439621171653,3.383474590007584,5.429,4.569732415060787,10.343325494543757
Angola,2014,4.66,3.31498568484309,2.1555015875602335,3.563146148648173,-2.279,4.588048613378176,10.19229429422534
Angola,2015,0.76,3.5447203584143305,2.318360012109408,3.919713358712152,-7.802,4.7879974620929655,10.063631131508624
Angola,2016,-1.7,3.339889192933751,3.4561273885206165,4.199755076629969,-2.688,5.097769316499278,10.052458082390377
Angola,2017,-0.14,3.489482946529516,3.4289422419707143,4.102511124888494,-0.453,5.111481338997158,9.739113723413835
Angola,2018,-0.59,3.427514689979529,3.0266978528108712,4.413295139589064,6.483,5.532819159050493,9.611829230401533
Angola,2019,-0.2,3.429169164736904,2.8947510436998773,4.618806783511,5.427,5.899419993036365,9.673427834899375
